Player,Pos,Team,G,MP,PTS,TRB,AST,WS,BPM,Salary,Value_per_Million
Dorian Finney-Smith,PF,BRK,68.0,1934.0,10.8,5.9,2.0,2.9,-1.0,14924167.0,0.1943157028462627
Dorian Finney-Smith,PF,BRK,68.0,1934.0,10.8,5.9,2.0,1.1,0.0,14924167.0,0.07370595625203069
Dorian Finney-Smith,PF,BRK,68.0,1934.0,10.8,5.9,2.0,1.8,-1.5,14924167.0,0.12060974659423203
Tyus Jones,PG,WAS,66.0,1933.0,14.7,3.3,9.0,4.4,0.1,2087519.0,2.1077652466875754
Jonas Valančiūnas,C,NOP,82.0,1925.0,18.7,13.5,3.2,4.3,0.6,9900000.0,0.4343434343434343
Jonas Valančiūnas,C,NOP,82.0,1925.0,18.7,13.5,3.2,2.3,0.4,9900000.0,0.2323232323232323
Jonas Valančiūnas,C,NOP,82.0,1925.0,18.7,13.5,3.2,2.1,1.1,9900000.0,0.21212121212121213
Nickeil Alexander-Walker,SG,MIN,82.0,1921.0,12.3,3.1,3.8,4.3,-0.4,4312500.0,0.9971014492753623
Andrew Wiggins,SF,GSW,71.0,1920.0,17.6,6.0,2.2,4.0,0.9,26276786.0,0.15222561846033986
Andrew Wiggins,SF,GSW,71.0,1920.0,17.6,6.0,2.2,3.2,1.0,26276786.0,0.1217804947682719
Andrew Wiggins,SF,GSW,71.0,1920.0,17.6,6.0,2.2,0.8,0.7,26276786.0,0.030445123692067973
Duncan Robinson,SF,MIA,68.0,1905.0,16.5,3.3,3.6,2.7,-1.7,19406000.0,0.13913222714624346
John Collins,PF,UTA,68.0,1901.0,19.4,10.9,1.5,2.5,1.0,26580000.0,0.09405568096313018
Darius Garland,PG,CLE,57.0,1901.0,19.5,2.9,7.1,8.1,3.1,36725670.0,0.22055417913410427
Isaiah Hartenstein,C,NYK,75.0,1896.0,11.1,11.9,3.6,6.8,3.2,30000000.0,0.22666666666666666
Eric Gordon,SG,PHO,68.0,1893.0,14.2,2.3,2.6,0.9,-1.6,3303771.0,0.27241597556247094
Jalen Johnson,SF,ATL,56.0,1889.0,17.1,9.3,3.9,2.4,1.8,4510905.0,0.5320440133410036
Isaac Okoro,SF,CLE,69.0,1887.0,12.3,3.9,2.5,2.5,-0.5,10185186.0,0.2454545258181834
Clint Capela,C,ATL,73.0,1883.0,16.0,14.8,1.7,3.2,-1.0,22265280.0,0.14372152517282513
Terance Mann,SG,LAC,75.0,1873.0,12.6,4.9,2.3,3.0,-1.3,11423077.0,0.26262626085773566
Terance Mann,SG,LAC,75.0,1873.0,12.6,4.9,2.3,1.4,-1.3,11423077.0,0.12255892173360995
Terance Mann,SG,LAC,75.0,1873.0,12.6,4.9,2.3,1.6,-1.3,11423077.0,0.14006733912412567
Malik Monk,SG,SAC,72.0,1872.0,21.3,4.1,7.1,2.8,-0.8,17405203.0,0.16087143597233539
Bruce Brown,SG,2TM,67.0,1866.0,14.0,5.5,3.7,0.7,-3.8,23000000.0,0.03043478260869565
Bruce Brown,SG,2TM,67.0,1866.0,14.0,5.5,3.7,0.4,-2.5,23000000.0,0.017391304347826087
Bruce Brown,SG,2TM,67.0,1866.0,14.0,5.5,3.7,0.2,-4.6,23000000.0,0.008695652173913044
Bruce Brown,SG,IND,33.0,981.0,14.6,5.7,3.7,0.7,-3.8,23000000.0,0.03043478260869565
Bruce Brown,SG,IND,33.0,981.0,14.6,5.7,3.7,0.4,-2.5,23000000.0,0.017391304347826087
Bruce Brown,SG,IND,33.0,981.0,14.6,5.7,3.7,0.2,-4.6,23000000.0,0.008695652173913044
Bruce Brown,PG,TOR,34.0,885.0,13.3,5.3,3.7,0.7,-3.8,23000000.0,0.03043478260869565
Bruce Brown,PG,TOR,34.0,885.0,13.3,5.3,3.7,0.4,-2.5,23000000.0,0.017391304347826087
Bruce Brown,PG,TOR,34.0,885.0,13.3,5.3,3.7,0.2,-4.6,23000000.0,0.008695652173913044
Jamal Murray,PG,DEN,59.0,1861.0,24.2,4.7,7.4,6.2,0.8,36016200.0,0.17214475708153554
RJ Barrett,SG,2TM,58.0,1838.0,22.9,6.2,3.8,2.4,0.6,25794643.0,0.09304257477027303
RJ Barrett,SG,NYK,26.0,766.0,22.3,5.2,3.0,2.4,0.6,25794643.0,0.09304257477027303
RJ Barrett,SG,TOR,32.0,1072.0,23.4,6.9,4.4,2.4,0.6,25794643.0,0.09304257477027303
Georges Niang,PF,CLE,82.0,1831.0,15.1,5.5,1.9,2.9,-2.3,8500000.0,0.3411764705882353
Georges Niang,PF,CLE,82.0,1831.0,15.1,5.5,1.9,2.2,-1.8,8500000.0,0.25882352941176473
Georges Niang,PF,CLE,82.0,1831.0,15.1,5.5,1.9,0.7,-3.1,8500000.0,0.08235294117647059
Jerami Grant,PF,POR,54.0,1830.0,22.3,3.8,3.0,1.8,-1.6,29793104.0,0.06041666554783953
Rui Hachimura,PF,LAL,68.0,1826.0,18.2,5.8,1.6,4.3,-0.7,17000000.0,0.2529411764705882
Payton Pritchard,PG,BOS,82.0,1825.0,15.5,5.2,5.5,8.6,3.5,6696429.0,1.2842665844736052
Lauri Markkanen,PF,UTA,55.0,1820.0,25.3,8.9,2.2,2.2,-0.3,42176400.0,0.05216187251638357
Reggie Jackson,PG,DEN,82.0,1817.0,16.5,3.1,6.1,0.1,-4.0,4033748.0,0.024790839685572823
Reggie Jackson,PG,DEN,82.0,1817.0,16.5,3.1,6.1,0.1,-4.0,4033748.0,0.024790839685572823
Cole Anthony,PG,ORL,81.0,1817.0,18.6,6.2,4.7,2.0,0.1,12900000.0,0.15503875968992248
Daniel Gafford,PF,2TM,74.0,1815.0,16.1,11.1,2.3,5.9,3.8,13394160.0,0.44049048241920363
Daniel Gafford,C,WAS,45.0,1192.0,14.8,10.9,2.1,5.9,3.8,13394160.0,0.44049048241920363
Daniel Gafford,PF,DAL,29.0,623.0,18.7,11.6,2.7,5.9,3.8,13394160.0,0.44049048241920363
Ivica Zubac,C,LAC,68.0,1794.0,15.9,12.6,1.9,11.7,3.1,11743210.0,0.9963204268679517
Deandre Ayton,C,POR,55.0,1784.0,18.6,12.3,1.8,2.8,-0.7,34005126.0,0.08234052713111548
Derrick Jones Jr.,SF,DAL,76.0,1783.0,13.3,5.0,1.5,4.7,-0.3,9523810.0,0.4934999753250013
Kyle Anderson,PF,MIN,79.0,1782.0,10.2,5.5,6.7,2.8,1.5,8780488.0,0.31888888180246927
Kyle Anderson,PF,MIN,79.0,1782.0,10.2,5.5,6.7,1.5,2.3,8780488.0,0.17083332953703712
Kyle Anderson,PF,MIN,79.0,1782.0,10.2,5.5,6.7,1.3,0.6,8780488.0,0.14805555226543218
Jalen Duren,C,DET,61.0,1777.0,17.0,14.4,3.0,9.2,3.1,4536840.0,2.0278431683727
Bradley Beal,SG,PHO,53.0,1767.0,19.6,4.7,5.4,2.4,-1.1,50203930.0,0.04780502243549459
Scoot Henderson,PG,POR,62.0,1765.0,17.7,4.0,6.9,1.8,-2.2,10259160.0,0.17545296106113953
Nick Richards,C,CHO,67.0,1759.0,13.3,11.0,1.1,3.0,-3.3,5000000.0,0.6
Nick Richards,C,CHO,67.0,1759.0,13.3,11.0,1.1,1.1,-2.0,5000000.0,0.22000000000000003
Nick Richards,C,CHO,67.0,1759.0,13.3,11.0,1.1,1.9,-3.9,5000000.0,0.38
Kelly Olynyk,C,2TM,78.0,1759.0,15.6,8.4,7.1,1.7,-0.7,12804878.0,0.1327619052676644
Kelly Olynyk,C,2TM,78.0,1759.0,15.6,8.4,7.1,0.9,0.2,12804878.0,0.0702857145534694
Kelly Olynyk,C,2TM,78.0,1759.0,15.6,8.4,7.1,0.8,-1.4,12804878.0,0.062476190714195017
Kelly Olynyk,C,UTA,50.0,1019.0,14.3,9.0,7.7,1.7,-0.7,12804878.0,0.1327619052676644
Kelly Olynyk,C,UTA,50.0,1019.0,14.3,9.0,7.7,0.9,0.2,12804878.0,0.0702857145534694
Kelly Olynyk,C,UTA,50.0,1019.0,14.3,9.0,7.7,0.8,-1.4,12804878.0,0.062476190714195017
Kelly Olynyk,C,TOR,28.0,740.0,17.3,7.6,6.2,1.7,-0.7,12804878.0,0.1327619052676644
Kelly Olynyk,C,TOR,28.0,740.0,17.3,7.6,6.2,0.9,0.2,12804878.0,0.0702857145534694
Kelly Olynyk,C,TOR,28.0,740.0,17.3,7.6,6.2,0.8,-1.4,12804878.0,0.062476190714195017
